longitude,latitude,name,poi_type,concourse
-84.4355068,33.6405833,Cafe Intermezzo,restaurant,B
-84.4357786,33.6414233,Lottafruit,fast_food,B
-84.4361154,33.6405952,Fresh To Order,fast_food,B
-84.4357741,33.6416944,Proof  of the Pudding,fast_food,B
-84.4357723,33.6415007,Restroom,toilet,B
-84.4357768,33.6415848,Restroom,toilet,B
-84.43601,33.6423582,Fly Burger,fast_food,B
-84.425224,33.6405468,Freshens,fast_food,E
-84.4252374,33.6408427,Nature's Table Bistro,fast_food,E
-84.42586,33.6411653,One Flew South,restaurant,E
-84.4249889,33.640836,Qdoba Mexican Grill,restaurant,E
-84.4249087,33.6403822,TGI Friday's,restaurant,E
-84.4247216,33.6406411,Villa Pizza,restaurant,E
-84.4390787,33.6392483,McDonald's,fast_food,A
-84.4392831,33.6395692,Atlanta Grill and Bar,restaurant,A
-84.4294318,33.6409969,Einstein Bros. Bagels,fast_food,D
-84.429722,33.6409224,Freshens,fast_food,D
-84.4294009,33.6427372,The Coffee Bean and Tea Leaf,coffee,D
-84.4294079,33.6429122,Restroom,toilet,D
-84.4292741,33.6422404,Chipotle,fast_food,D
-84.4292409,33.6429604,Wolfgang Puck,fast_food,D
-84.4293429,33.6420774,Georgia Grown,fast_food,D
-84.4292419,33.6416317,Auntie Anne's,fast_food,D
-84.4293269,33.6411276,Restroom,toilet,D
-84.4296014,33.6409232,Famous Famiglia,fast_food,D
-84.4293708,33.6406302,Restroom,toilet,D
-84.4290864,33.640891,Buffalo wild wings,restaurant,D
-84.4291156,33.6409365,Phillips seafood,restaurant,D
-84.4462272,33.6407121,Marta,station,T
-84.4392094,33.6436938,Hawk's Sports Bar,restaurant,A
-84.429089,33.640807,DR,station,D
-84.429438,33.640771,DL,station,D
-84.432355,33.640808,CR,station,C
-84.432846,33.640765,CL,station,C
-84.436078,33.640769,BL,station,B
-84.436078,33.640822,BR,station,B
-84.439348,33.640774,AL,station,A
-84.438979,33.640822,AR,station,A
-84.442188,33.640783,TR,station,T
-84.443284,33.64082,TL,station,T
-84.426633,33.64077,ES,station,E
